,supply,island demand,household demand,price
23/01/2016 08:00,23.33,17.53,92.13,-5.00
23/01/2016 09:00,21.63,19.16,58.37,-5.00
23/01/2016 10:00,27.44,18.59,162.83,22.87
23/01/2016 11:00,29.03,20.78,89.13,21.27
23/01/2016 12:00,28.50,20.76,102.72,-8.14
23/01/2016 13:00,20.68,18.28,116.12,15.23
23/01/2016 14:00,15.55,17.65,180.83,22.73
23/01/2016 15:00,17.93,17.45,257.77,28.10
23/01/2016 16:00,19.74,17.89,1193.80,47.95
23/01/2016 17:00,22.47,19.90,171.33,30.04
23/01/2016 18:00,19.42,18.42,149.03,28.38
23/01/2016 19:00,17.23,20.07,203.85,27.94
23/01/2016 20:00,7.35,19.79,280.98,28.34
23/01/2016 21:00,4.92,16.55,847.37,28.20
23/01/2016 22:00,9.04,16.68,552.88,45.74
23/01/2016 23:00,13.43,15.79,308.08,47.23
24/01/2016 00:00,16.78,17.61,239.88,133.39
24/01/2016 01:00,16.90,17.84,443.83,47.23
24/01/2016 02:00,13.32,17.11,1040.67,109.89
24/01/2016 03:00,13.01,17.32,376.70,62.73
24/01/2016 04:00,16.70,17.12,335.88,49.00
24/01/2016 05:00,19.48,16.41,733.68,48.00
24/01/2016 06:00,17.53,16.36,666.55,28.45
24/01/2016 07:00,14.71,15.16,89.13,48.68
